TestId,Date,Time,Code,Position,Type,Excluded,Tags,System Weight,Jump Height,Jump Momentum,Countermovement Depth,Braking RFD,Stiffness,Force at Min Displacement,Relative Force at Min Displacement,Avg. Braking Force,Avg. Relative Braking Force,Peak Braking Force,Peak Relative Braking Force,Avg. Propulsive Force,Avg. Relative Propulsive Force,Peak Propulsive Force,Peak Relative Propulsive Force,Unweighting Phase,Unweighting Phase %,Braking Phase,Braking Phase %,Propulsive Phase,Propulsive Phase %,Flight Time,Time To Takeoff,Braking Net Impulse,Propulsive Net Impulse,Positive Impulse,Positive Net Impulse,Impulse Ratio,Avg. Braking Velocity,Peak Braking Velocity,Avg. Propulsive Velocity,Takeoff Velocity,Peak Velocity,Avg. Braking Power,Avg. Relative Braking Power,Peak Braking Power,Peak Relative Braking Power,Avg. Propulsive Power,Avg. Relative Propulsive Power,Peak Relative Propulsive Power,Peak Propulsive Power,L|R Peak Braking Force,Left Force at Peak Braking Force,Right Force at Peak Braking Force,L|R Avg. Braking Force,Left Avg. Braking Force,Right Avg. Braking Force,L|R Peak Propulsive Force,Left Force at Peak Propulsive Force,Right Force at Peak Propulsive Force,L|R Avg. Propulsive Force,Left Avg. Propulsive Force,Right Avg. Propulsive Force,L|R Avg. Braking RFD,Left Avg. Braking RFD,Right Avg. Braking RFD,L|R Braking Impulse Index,L|R Propulsive Impulse Index,Time to Stabilization,Landing Stiffness,Peak Landing Force,Avg. Landing Force,Relative Peak Landing Force,L|R Peak Landing Force,Left Force at Peak Landing Force,Right Force at Peak Landing Force,L|R Avg. Landing Force,Left Avg. Landing Force,Right Avg. Landing Force,L|R Landing Impulse Index,RSI,mRSI,Braking Impulse,Relative Braking Impulse,Relative Braking Net Impulse,Propulsive Impulse,Relative Propulsive Impulse,Relative Propulsive Net Impulse
RVOANr0mLeZWLHkZ0p2g,5/22/2024,9:51:23,BASEB1,NA,Countermovement Jump,,,763.419,0.4839,239.785,-0.3257,9451.3889,-6506.9286,2119,277.5671,1585.3264,207.6614,2115,277.0431,1819.2939,238.3087,2134,279.5319,0.382,50.6631,0.144,19.0981,0.228,30.2387,N/A,0.754,117.6657,241.777,643.4345,359.4426,2.0548,-0.9438,-1.5284,1.8632,3.0813,3.1845,-1351.6861,-17.3693,-2006.9229,-25.7891,3047.6338,39.1624,69.1532,5381.5353,-9.2199,960,1155,-7.7784,731.0069,854.3194,-8.8097,973,1161,-5.9959,855.1053,964.1886,-13.8868,4069.4444,5381.9444,-14.4049,-11.3213,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6418,227.598,2.9247,1.512,415.8365,5.3435,3.1069
7ayGRsRPFRjrZKhTmtyB,5/22/2024,9:51:15,BASEB1,NA,Countermovement Jump,,,764.398,0.4565,233.2069,-0.2915,6910.2564,-6336.8112,1847,241.6281,1446.0705,189.1777,1847,241.6281,1835.4128,240.1122,2222,290.6863,0.406,52.0513,0.156,20,0.218,27.9487,0.632,0.78,105.7934,234.3852,626.0635,340.1786,2.2155,-0.856,-1.3634,1.7319,2.9929,3.0903,-1118.5872,-14.3555,-1533.1399,-19.6757,2929.7904,37.5998,71.1177,5541.5102,-10.0162,831,1016,-9.1987,656.5256,789.5449,-4.4104,1062,1160,-5.6333,866.0092,969.4037,-21.8924,2698.7179,4211.5385,-16.796,-10.6824,N/A,-4464.8557,4959,1176.0304,648.7458,2.4803,2541,2418,5.3458,619.4493,556.5812,N/A,0.8103,0.5853,225.0395,2.8881,1.3577,401.024,5.1466,3.008
AZvBrwzoOMs4ZhR3VMaI,5/15/2024,9:54:54,BASEB1,NA,Countermovement Jump,,,746.046,0.4912,236.0944,-0.3105,8356.6434,-6259.8991,1944,260.5737,1536.8951,206.0054,1934,259.2333,1809.0448,242.4844,2098,281.2159,0.342,48.3051,0.143,20.1977,0.223,31.4972,0.674,0.708,112.4864,237.9977,623.537,350.4842,2.1158,-0.8993,-1.4949,1.8647,3.1045,3.2108,-1265.1228,-16.6355,-1884.4663,-24.7795,3039.5838,39.9685,72.0329,5478.0714,-8.7901,882,1052,-9.1284,698.3007,838.5944,-4.2898,1004,1094,-3.4875,872.9776,936.0673,-13.6402,3608.3916,4748.2517,-16.7068,-6.7712,N/A,-4779.525,5760,1129.4286,772.0704,2.0486,2939,2821,-13.2515,489.881,639.5476,N/A,0.952,0.6938,219.171,2.882,1.4791,404.366,5.3171,3.1295
K7GBdqteZnz77dsPNEni,5/13/2024,13:08:54,BASEB1,NA,Countermovement Jump,,,745.258,0.4304,220.7674,-0.3053,8694.4444,-6548.4925,1999,268.2293,1480.7431,198.6886,1994,267.5583,1735.0045,232.8059,2085,279.7689,0.333,47.5036,0.144,20.5421,0.224,31.9544,0.602,0.701,105.2753,222.6847,602.215,327.9601,2.1153,-0.8781,-1.4017,1.7981,2.906,3.0343,-1172.6484,-15.4358,-1662.249,-21.8806,2776.7926,36.5516,65.7656,4996.1603,-7.4223,923,1071,-11.0638,658.4583,822.2847,-6.8585,971,1114,-8.8053,791.1161,943.8884,1.9169,4430.5556,4263.8889,-19.9848,-16.169,N/A,-4686.338,5657,1099.3508,759.066,-9.7048,2554,3103,-12.1437,482.9243,616.4264,N/A,0.8588,0.614,212.5925,2.7984,1.3858,389.6225,5.1287,2.9312
PlH7knqRt5LC3BqB3Gmv,5/13/2024,13:08:42,BASEB1,NA,Countermovement Jump,,,745.472,0.4108,215.7353,-0.2676,4270.8333,-5852.6941,1566,210.0683,1214.401,162.9036,1576,211.4097,1678.5431,225.1651,2184,292.9688,0.264,38.3721,0.192,27.907,0.232,33.7209,0.595,0.688,89.6164,217.2405,622.937,306.8569,2.4241,-0.7403,-1.1897,1.5909,2.839,2.9546,-831.9472,-10.948,-1168.4944,-15.3767,2510.4273,33.0358,67.1734,5104.5793,-4.3147,754,822,-7.4681,561.8542,652.5469,-1.6484,1074,1110,-1.9151,823.1983,855.3448,-6.3415,2000,2270.8333,-13.9044,-3.7688,N/A,-5082.5057,4777,1056.906,640.8021,-8.7293,2180,2597,-3.6441,509.1957,547.7103,N/A,0.8648,0.5971,232.747,3.0628,1.1793,390.19,5.1347,2.8588
jbSRyQaqYZ0tmlSq6S0b,5/8/2024,15:20:37,BASEB1,NA,Countermovement Jump,,,743.386,0.4572,226.9547,-0.3031,8278.9116,-6463.1542,1959,263.5239,1437.8776,193.4227,1959,263.5239,1766.5811,237.6398,2128,286.2577,0.337,47.7337,0.147,20.8215,0.222,31.4448,0.652,0.706,101.4748,228.1133,603.8975,329.5881,2.248,-0.8562,-1.345,1.8092,2.995,3.118,-1102.7836,-14.5527,-1495.5692,-19.7361,2880.7039,38.0148,70.216,5320.8516,-15.8754,824,1135,-8.5661,657.3537,780.5238,-4.3233,1018,1110,-10.5184,790.3829,976.1982,-29.3344,2925.1701,5353.7415,-15.6775,-19.0507,910,-5046.189,5716,1025.9945,768.9141,-0.2449,2851,2865,-3.1066,497.0604,528.9341,-6.0269,0.9235,0.6476,210.7525,2.7812,1.3391,393.145,5.1881,3.0103
xpMgpQPDDg4MsRjkErdZ,5/8/2024,15:20:21,BASEB1,NA,Countermovement Jump,,,742.474,0.4377,221.798,-0.2691,5628.7425,-6238.6671,1679,226.1359,1320.9701,177.9147,1677,225.8665,1730.7778,233.1095,2227,299.9432,0.28,41.6667,0.167,24.8512,0.225,33.4821,0.631,0.672,96.1318,223.1918,610.3735,319.3237,2.3217,-0.7885,-1.2792,1.6831,2.9305,3.0493,-956.2218,-12.6342,-1359.5554,-17.9632,2698.7712,35.6577,71.0655,5378.6259,-8.6464,766,911,-9.0199,600.9102,720.0599,-2.9187,1081,1146,-5.3481,819.1067,911.6711,5.5319,2970.0599,2658.6826,-16.6007,-10.1613,1010,-4642.5609,5011,991.5188,674.9058,3.8515,2602,2409,-0.9229,491.1842,500.3347,-1.8218,0.939,0.6514,220.125,2.9084,1.2702,390.2485,5.1562,2.9489
RYr3R7MWBVNTxxHYHUM4,5/3/2024,13:52:44,BASEB1,NA,Countermovement Jump,,,746.409,0.5071,239.9888,-0.3217,8116.4384,-5999.96,1930,258.5714,1525.1507,204.3318,1930,258.5714,1827.545,244.845,2155,288.7157,0.278,43.0341,0.146,22.6006,0.222,34.3653,0.677,0.646,113.0953,240.9582,628.732,354.0535,2.1306,-0.9055,-1.4899,1.9084,3.1542,3.2619,-1254.2758,-16.4849,-1790.5087,-23.5325,3134.4543,41.1959,73.1511,5565.8158,-15.7513,813,1117,-9.4597,690.4384,834.7123,-8.4919,986,1169,-8.4185,836.8468,990.6982,-10.8861,3616.4384,4500,-17.2782,-15.5452,N/A,-4951.646,6124,1158.6322,820.4617,-4.8334,2914,3210,-0.5158,576.3279,582.3043,N/A,1.048,0.7849,222.071,2.9187,1.4864,406.661,5.3447,3.1669
zxpQbeR7JmgUYmUX79DE,5/1/2024,11:54:51,BASEB1,NA,Countermovement Jump,,,736.851,0.4717,228.4971,-0.3189,5947.9769,-5515.0312,1759,238.7185,1324.2428,179.7165,1759,238.7185,1706.1949,231.5522,2082,282.5537,0.314,43.4302,0.173,23.9281,0.236,32.6418,0.654,0.723,101.0968,229.6257,632.0945,330.7224,2.2713,-0.8282,-1.3518,1.7674,3.0421,3.1512,-1006.8749,-13.4049,-1449.376,-19.2961,2779.6157,37.0062,70.57,5300.6668,-16.6572,733,1026,-11.8292,583.7977,740.4451,-5.4755,984,1098,-10.3293,764.9788,941.2161,-24.7813,2236.9942,3710.9827,-21.1095,-18.7357,N/A,-4680.784,6403,1309.4557,868.9681,6.2002,3400,3003,-1.3695,645.7613,663.6944,N/A,0.9046,0.6524,228.572,3.0431,1.3459,403.5225,5.3723,3.0571
JHjcjUMs3p9mFeBGTKbl,5/1/2024,11:54:20,BASEB1,NA,Countermovement Jump,,,737.798,0.4565,225.0787,-0.2893,5068.7831,-5876.1148,1700,230.4154,1215.8413,164.7932,1700,230.4154,1785.2326,241.9677,2224,301.4375,0.335,45.3315,0.189,25.5751,0.215,29.0934,0.64,0.739,89.8647,226.0264,613.9615,315.8911,2.5152,-0.7599,-1.1981,1.7368,2.9927,3.0959,-846.2914,-11.2526,-1181.8936,-15.7148,2852.8954,37.933,72.3365,5440.3362,-15.0588,722,978,-12.2275,533.5873,682.254,-2.4281,1085,1139,-6.3495,835.9395,949.293,-29.0188,1798.9418,3269.8413,-21.7364,-11.9654,N/A,-3178.9905,5594,906.0958,758.2021,-7.365,2591,3003,4.2032,472.0902,434.0056,N/A,0.866,0.6177,229.3085,3.049,1.1949,384.653,5.1145,3.0053
