TestId,Date,Time,Name,Segment,Position,Type,Excluded,Tags,System Weight,Jump Height,Jump Momentum,Countermovement Depth,Braking RFD,Stiffness,Force at Min Displacement,Relative Force at Min Displacement,Avg. Braking Force,Avg. Relative Braking Force,Peak Braking Force,Peak Relative Braking Force,Avg. Propulsive Force,Avg. Relative Propulsive Force,Peak Propulsive Force,Peak Relative Propulsive Force,Unweighting Phase,Unweighting Phase %,Braking Phase,Braking Phase %,Propulsive Phase,Propulsive Phase %,Flight Time,Time To Takeoff,Braking Net Impulse,Propulsive Net Impulse,Positive Impulse,Positive Net Impulse,Impulse Ratio,Avg. Braking Velocity,Peak Braking Velocity,Avg. Propulsive Velocity,Takeoff Velocity,Peak Velocity,Avg. Braking Power,Avg. Relative Braking Power,Peak Braking Power,Peak Relative Braking Power,Avg. Propulsive Power,Avg. Relative Propulsive Power,Peak Relative Propulsive Power,Peak Propulsive Power,L|R Peak Braking Force,Left Force at Peak Braking Force,Right Force at Peak Braking Force,L|R Avg. Braking Force,Left Avg. Braking Force,Right Avg. Braking Force,L|R Peak Propulsive Force,Left Force at Peak Propulsive Force,Right Force at Peak Propulsive Force,L|R Avg. Propulsive Force,Left Avg. Propulsive Force,Right Avg. Propulsive Force,L|R Avg. Braking RFD,Left Avg. Braking RFD,Right Avg. Braking RFD,L|R Braking Impulse Index,L|R Propulsive Impulse Index,Time to Stabilization,Landing Stiffness,Peak Landing Force,Avg. Landing Force,Relative Peak Landing Force,L|R Peak Landing Force,Left Force at Peak Landing Force,Right Force at Peak Landing Force,L|R Avg. Landing Force,Left Avg. Landing Force,Right Avg. Landing Force,L|R Landing Impulse Index,RSI,mRSI,Braking Impulse,Relative Braking Impulse,Relative Braking Net Impulse,Propulsive Impulse,Relative Propulsive Impulse,Relative Propulsive Net Impulse
x7rZsalGcnFYpCM7weQi,2/12/2024,6:58:19,MSD41,,,Countermovement Jump,,,775.724,0.4073,223.532,-0.3329,7892.6174,-5876.2021,1956,252.1515,1538.2349,198.2967,1976,254.7298,1624.7689,209.4519,1956,252.1515,0.375,47.5888,0.149,18.9086,0.264,33.5025,0.602,0.788,113.0191,225.1139,658.507,338.133,1.9918,-0.923,-1.4397,1.703,2.8268,2.9222,-1266.0081,-16.0103,-1710,-21.6251,2521.9202,31.8928,54.4123,4302.6408,-8.9069,900,1076,-9.7362,694.2349,844,-8.0777,899,1057,-4.8098,773.3106,851.4583,-6.1224,3704.698,4187.9195,-17.7599,-9.1948,N/A,-3740.5272,3179,1233.9663,409.8107,3.4288,1644,1535,13.4239,699.8065,534.1599,N/A,0.764,0.5169,228.602,2.891,1.4293,429.905,5.4367,2.8468
bWJ7Xzs3yDdZLujai9UE,2/12/2024,6:58:13,MSD41,,,Countermovement Jump,,,776.626,0.389,218.7112,-0.2816,9316.1765,-7261.9172,2045,263.3185,1546.0662,199.0747,2046,263.4473,1731.1354,222.9046,2047,263.576,0.334,47.7825,0.136,19.4564,0.229,32.7611,0.574,0.699,104.0029,219.5911,607.0625,323.594,2.1114,-0.8498,-1.3154,1.6818,2.7627,2.8633,-1163.6004,-14.6981,-1550.7072,-19.5879,2629.9521,33.2204,56.9516,4508.6773,-5.8651,963,1083,-5.5192,730.3676,815.6985,-6.0088,962,1085,-7.2931,802.441,928.6943,-6.8666,4338.2353,4977.9412,-10.4528,-13.5829,N/A,-4191.3232,2939,1268.7753,378.4318,-55.4951,654,2285,-11.8757,559.0498,709.7255,N/A,0.8212,0.5565,209.624,2.6479,1.3137,397.4385,5.0203,2.7738
3UzXnAz6qt6Nd7is45Ax,2/5/2024,5:40:13,MSD41,,,Countermovement Jump,,,780.762,0.4137,226.7548,-0.3159,7737.931,-6037.6441,1907,244.2486,1542.3862,197.5488,1924,246.4259,1672.6039,214.2271,1907,244.2486,0.406,50.3722,0.145,17.9901,0.255,31.6377,0.596,0.806,109.867,228.3527,650.5245,338.2197,2.0784,-0.8824,-1.3911,1.6839,2.8491,2.9389,-1220.0836,-15.3299,-1688.1432,-21.2109,2585.7325,32.4888,56.6337,4507.3867,-8.5239,880,1044,-12.4321,675.3172,867.069,-5.506,901,1006,-4.4285,799.2667,873.3373,9.0909,4220.6897,3517.2414,-22.1987,-8.4902,N/A,-4085.6066,2033,1066.9889,260.3866,-14.4122,870,1163,-5.8615,502.2237,564.7651,N/A,0.7395,0.5133,223.0775,2.8029,1.3804,427.447,5.3707,2.8692
shPDfpvqFIBLoL4vxaLb,2/5/2024,5:40:07,MSD41,,,Countermovement Jump,,,780.741,0.377,216.4436,-0.2618,10569.2308,-8220.9845,2152,275.6356,1530.6,196.0445,2152,275.6356,1820.8846,233.2252,2197,281.3993,0.379,52.8591,0.13,18.1311,0.208,29.0098,0.567,0.717,96.7882,217.4129,578.0915,314.201,2.2463,-0.8071,-1.2188,1.6897,2.7196,2.8209,-1084.8387,-13.631,-1422.6902,-17.8761,2739.2914,34.4192,57.9506,4612.0724,-5.1115,1021,1131,-8.2331,702.2923,828.3077,-6.2358,1030,1167,-4.7388,867.2981,953.5865,-1.0189,5230.7692,5338.4615,-15.2546,-9.0549,N/A,-4068.4938,2241,1264.5568,287.035,-22.1776,872,1369,0.1898,633.4784,631.0784,N/A,0.7908,0.5258,198.2845,2.4914,1.2161,379.807,4.7723,2.7318
JdG8zHTNkJs4BAenspVl,1/30/2024,6:34:58,MSD41,,,Countermovement Jump,,,777.523,0.379,216.1308,-0.2904,6967.9487,-6429.0662,1867,240.1215,1412.7628,181.7005,1867,240.1215,1671.6446,214.9962,1904,244.8802,0.347,46.5772,0.156,20.9396,0.242,32.4832,0.562,0.745,98.5479,217.2949,625.297,315.8428,2.205,-0.8095,-1.2486,1.6275,2.7269,2.8254,-1025.4801,-12.9385,-1324.3628,-16.7095,2487.4347,31.3839,54.7949,4342.9457,-12.4799,817,1050,-10.9419,629.0897,783.6731,-9.3487,863,1041,-6.9867,777.4256,894.219,-11.6835,3076.9231,3891.0256,-19.7223,-13.0788,N/A,-4370.0308,3486,1165.3911,448.3469,-1.7785,1712,1774,-2.6255,567.3967,597.9945,N/A,0.7544,0.5087,219.8415,2.7737,1.2434,405.4555,5.1156,2.7416
xtAlYHDg1DqqWqCRCoRf,1/30/2024,6:34:52,MSD41,,,Countermovement Jump,,,778.114,0.3523,208.535,-0.2475,7424.6575,-7546.4712,1868,240.0677,1372.2397,176.3546,1863,239.4251,1761.1033,226.3297,2100,269.8833,0.342,48.7874,0.146,20.8274,0.213,30.3852,0.545,0.701,86.1944,210.2892,575.8265,296.4836,2.4397,-0.7099,-1.0994,1.5932,2.6291,2.7297,-880.7374,-11.1038,-1149.7867,-14.4958,2531.3487,31.9137,55.5539,4406.4492,-4.9919,885,978,-8.0306,631.0205,741.2192,-6.6667,980,1120,-6.0923,826.9061,934.1972,-2.0295,3636.9863,3787.6712,-14.8938,-11.4753,N/A,-4483.8346,3656,1196.9878,469.854,-25.9847,1353,2303,-5.5011,565.5699,631.4179,N/A,0.7775,0.5026,199.799,2.5189,1.0867,376.0275,4.7407,2.6512
Kof9fPTkWvDeyNJ5iJCD,1/22/2024,5:40:14,MSD41,,,Countermovement Jump,,,786.267,0.3841,220.0259,-0.2837,8275.1678,-7116.4335,2019,256.783,1457.2013,185.3316,2016,256.4015,1732.3047,220.3202,2055,261.3616,0.358,48.3784,0.149,20.1351,0.233,31.4865,0.562,0.74,99.3487,221.4183,621.121,320.767,2.2287,-0.8303,-1.2475,1.6745,2.7452,2.8411,-1071.4156,-13.3677,-1437.6225,-17.9368,2617.3093,32.6553,55.4822,4446.8695,-7.4405,933,1083,-11.7136,643.255,813.9463,-5.4988,971,1084,-4.0887,830.7382,901.5665,-10.4623,3704.698,4570.4698,-20.9761,-7.8757,N/A,-5179.3112,3903,985.5446,496.3963,-15.6546,1646,2257,3.5673,510.3508,475.1939,N/A,0.7595,0.5191,216.5025,2.7012,1.2395,404.6185,5.0483,2.7626
mFUBDImZAvW0M8oIIaZ0,1/22/2024,5:40:08,MSD41,,,Countermovement Jump,,,785.164,0.3736,216.7057,-0.2594,10685.0394,-8307.1597,2155,274.465,1552.189,197.6898,2150,273.8281,1801.4486,229.436,2197,279.8142,0.355,51.0057,0.127,18.2471,0.214,30.7471,0.553,0.696,96.7257,218.5424,583.009,315.2681,2.2594,-0.8037,-1.222,1.6878,2.7076,2.8143,-1101.656,-13.7643,-1431.0576,-17.8799,2700.9521,33.7462,56.826,4548.189,-7.7209,992,1158,-15.6751,654.4409,897.748,-6.6909,1025,1172,-4.1301,863.5234,937.9252,-0.8106,5299.2126,5385.8268,-27.1773,-7.9597,N/A,-5153.0861,4114,1493.2065,523.967,-19.9319,1647,2467,2.4189,764.663,728.5435,N/A,0.7945,0.5368,196.4415,2.4544,1.2085,386.5675,4.8299,2.7305
dxSMdlAGy3Dm8r6POwic,1/15/2024,5:43:04,MSD41,,,Countermovement Jump,,,779.782,0.3481,207.7348,-0.2025,13770.6422,-11300.0722,2288,293.4153,1618.8991,207.6092,2288,293.4153,1890.9037,242.4913,2377,304.8288,0.311,51.2356,0.109,17.9572,0.187,30.8072,0.533,0.607,90.7058,208.9058,530.427,299.6115,2.3031,-0.7385,-1.1463,1.6756,2.6134,2.7151,-1055.014,-13.2725,-1443.9374,-18.1654,2763.5869,34.7671,57.0257,4532.8884,-15.9965,961,1327,-21.5675,634.8716,984.0275,-11.0644,1057,1320,-7.9488,870.2995,1020.6043,-15.9227,5788.9908,7981.6514,-35.5127,-14.7636,N/A,-6161.2631,3318,1223.9795,425.5035,-5.4852,1568,1750,-6.1013,574.6507,649.3288,N/A,0.8781,0.5735,175.702,2.2104,1.1411,354.725,4.4626,2.6281
MzVfemcNgXQIPG63W0vU,1/15/2024,5:42:59,MSD41,,,Countermovement Jump,,,782.735,0.3305,203.1688,-0.1867,15057.1429,-12696.1525,2371,302.9122,1574.4381,201.1457,2360,301.5069,1947.5829,248.8177,2499,319.2651,0.233,45.4191,0.105,20.4678,0.175,34.1131,0.522,0.513,82.3323,205.0144,506.5125,287.3467,2.4901,-0.7108,-1.0455,1.651,2.5463,2.649,-971.6924,-12.1782,-1250.658,-15.6745,2776.0434,34.7921,56.3802,4498.549,-11.1864,1048,1312,-11.8718,693.7619,880.6762,-8.2033,1147,1352,-6.1272,914.1257,1033.4571,-15.7495,6342.8571,8714.2857,-21.1919,-11.5814,N/A,-5817.6686,4426,1346.7227,565.4532,-13.014,1925,2501,0.9515,679.7686,666.9541,N/A,1.0175,0.6442,164.5195,2.0619,1.0319,341.993,4.2862,2.5694
