TestId,Date,Time,Name,Segment,Position,Type,Excluded,Tags,System Weight,Jump Height,Jump Momentum,Countermovement Depth,Braking RFD,Stiffness,Force at Min Displacement,Relative Force at Min Displacement,Avg. Braking Force,Avg. Relative Braking Force,Peak Braking Force,Peak Relative Braking Force,Avg. Propulsive Force,Avg. Relative Propulsive Force,Peak Propulsive Force,Peak Relative Propulsive Force,Unweighting Phase,Unweighting Phase %,Braking Phase,Braking Phase %,Propulsive Phase,Propulsive Phase %,Flight Time,Time To Takeoff,Braking Net Impulse,Propulsive Net Impulse,Positive Impulse,Positive Net Impulse,Impulse Ratio,Avg. Braking Velocity,Peak Braking Velocity,Avg. Propulsive Velocity,Takeoff Velocity,Peak Velocity,Avg. Braking Power,Avg. Relative Braking Power,Peak Braking Power,Peak Relative Braking Power,Avg. Propulsive Power,Avg. Relative Propulsive Power,Peak Relative Propulsive Power,Peak Propulsive Power,L|R Peak Braking Force,Left Force at Peak Braking Force,Right Force at Peak Braking Force,L|R Avg. Braking Force,Left Avg. Braking Force,Right Avg. Braking Force,L|R Peak Propulsive Force,Left Force at Peak Propulsive Force,Right Force at Peak Propulsive Force,L|R Avg. Propulsive Force,Left Avg. Propulsive Force,Right Avg. Propulsive Force,L|R Avg. Braking RFD,Left Avg. Braking RFD,Right Avg. Braking RFD,L|R Braking Impulse Index,L|R Propulsive Impulse Index,Time to Stabilization,Landing Stiffness,Peak Landing Force,Avg. Landing Force,Relative Peak Landing Force,L|R Peak Landing Force,Left Force at Peak Landing Force,Right Force at Peak Landing Force,L|R Avg. Landing Force,Left Avg. Landing Force,Right Avg. Landing Force,L|R Landing Impulse Index,RSI,mRSI,Braking Impulse,Relative Braking Impulse,Relative Braking Net Impulse,Propulsive Impulse,Relative Propulsive Impulse,Relative Propulsive Net Impulse
Bo7HcjEtuGEzVbGzCMJ8,3/18/2024,7:38:44,WSD1,, ,Countermovement Jump,,,649.886,0.273,153.3213,-0.2831,9237.7049,-6274.2533,1776,273.2787,1486.3934,228.716,1782,274.2019,1236.8084,190.3116,1773,272.8171,0.247,39.2063,0.122,19.3651,0.261,41.4286,0.471,0.63,101.4814,154.0573,504.445,255.5387,1.5181,-0.9208,-1.5337,1.5257,2.3144,2.4496,-1237.0912,-18.6738,-1837.1145,-27.7312,1674.0748,25.2701,41.8164,2770.2209,0.6734,897,885,-1.19,734.3525,752.041,0.6204,892,881,-0.5945,614.728,622.0805,0.6211,4647.541,4590.1639,-2.3632,-1.1571,N/A,-28881.1731,2982,889.9794,458.8497,-19.6512,1198,1784,-20.9148,351.9209,538.0585,N/A,0.7476,0.4333,180.7675,2.7287,1.5319,323.6775,4.8859,2.3255
EXIUTMBA2IO8P8O7x0kI,3/18/2024,7:38:38,WSD1,, ,Countermovement Jump,,,649.088,0.2792,154.8572,-0.2754,9308.3333,-6438.2818,1773,273.1525,1482.7333,228.4333,1785,275.0012,1268.196,195.3812,1771,272.8444,0.246,39.9351,0.12,19.4805,0.25,40.5844,0.474,0.616,99.4709,155.647,495.2805,255.1179,1.5647,-0.9105,-1.5059,1.5301,2.3404,2.4607,-1216.2247,-18.3814,-1767.2252,-26.709,1721.0024,26.0104,42.0312,2781.0349,-0.1681,891,894,-2.2728,724.5167,758.2167,-1.6375,871,900,-0.2217,632.692,635.504,2.7753,4783.3333,4525,-4.4752,-0.4425,N/A,-22035.3023,2493,890.2978,384.0774,-3.8909,1198,1295,6.0742,472.1881,418.1097,N/A,0.7695,0.4532,177.3615,2.6806,1.5034,317.919,4.8049,2.3524
h8Idv49Ql8SadlrSdayi,3/14/2024,7:47:56,WSD1,, ,Countermovement Jump,,,638.289,0.3013,158.1864,-0.2894,8000,-5735.3896,1660,260.0703,1391.5354,218.0102,1662,260.3836,1242.8289,194.7126,1661,260.227,0.275,41.3534,0.127,19.0977,0.263,39.5489,0.496,0.665,95.1468,159.806,503.8855,254.9528,1.6796,-0.9012,-1.4779,1.5174,2.4312,2.529,-1134.7082,-17.4396,-1675.7912,-25.7556,1702.5568,26.167,44.0506,2866.1552,1.2034,841,821,2.0048,709.7165,681.8189,1.0235,839,822,0.3347,623.4943,619.3346,-1.1811,3952.7559,4047.2441,3.9481,0.6946,N/A,-21828.7424,2971,876.4229,465.4631,-12.8913,1294,1677,-6.8883,408.026,468.3969,N/A,0.7459,0.453,176.2095,2.7082,1.4623,327.676,5.0361,2.4561
jo1XfYemiM9k75X5Zhdt,3/14/2024,7:47:49,WSD1,,,Countermovement Jump,,,638.821,0.2959,156.8919,-0.253,8508.4746,-6517.5398,1649,258.1318,1426.1864,223.2529,1681,263.141,1312.8455,205.5107,1647,257.8187,0.244,41.0084,0.118,19.8319,0.233,39.1597,0.489,0.595,92.3986,157.8582,474.483,250.2568,1.7084,-0.8575,-1.4243,1.4946,2.4093,2.5049,-1107.5445,-17.0079,-1655.1745,-25.4175,1769.2298,27.169,45.7617,2979.9762,-0.8923,833,848,-4.7941,678.9068,747.2797,-1.0322,815,832,-0.596,652.5107,660.3348,11.5538,4745.7627,3762.7119,-9.2374,-1.1711,N/A,-17948.5142,3140,922.5701,491.5305,1.7834,1598,1542,12.0977,517.0899,405.4802,N/A,0.8218,0.4972,167.7795,2.5765,1.4189,306.7035,4.7099,2.4241
IEJNudyaCeI1LEEnWjOM,3/11/2024,7:39:57,WSD1,, ,Countermovement Jump,,,643.094,0.2974,158.3455,-0.2632,9313.5593,-6623.5895,1743,271.0335,1461.6017,227.2765,1743,271.0335,1316.6468,204.7363,1743,271.0335,0.249,41.3621,0.118,19.6013,0.235,39.0365,0.496,0.602,96.0264,159.1389,482.1775,255.1653,1.6572,-0.8721,-1.4677,1.5495,2.4155,2.5315,-1159.1695,-17.6824,-1799.8425,-27.4555,1813.4228,27.6626,46.0724,3020.2746,-0.6311,866,877,-4.8072,695.6695,765.9322,-0.9753,863,880,-1.5093,648.3872,668.2596,7.0064,4983.0508,4330.5085,-9.2405,-2.9488,N/A,-24723.3054,3637,969.7708,565.5472,-20.209,1451,2186,-16.4839,404.9573,564.8135,N/A,0.8239,0.494,171.9115,2.6224,1.4648,310.266,4.7329,2.4276
6M2hvdvGGHRJ59g4r1h7,3/11/2024,7:39:51,WSD1,, ,Countermovement Jump,,,643.121,0.2961,158.0036,-0.2478,10155.9633,-7079.7163,1754,272.7325,1500.5963,233.3303,1753,272.577,1364.5727,212.1798,1760,273.6655,0.244,42.5829,0.109,19.0227,0.22,38.3944,0.488,0.573,92.9013,159.5769,464.065,252.4782,1.7177,-0.8589,-1.4318,1.5231,2.4101,2.5114,-1168.9091,-17.8302,-1767.2797,-26.9576,1848.4054,28.1951,47.4065,3107.86,-2.567,854,899,-7.7896,691.8532,808.7431,-1.7045,865,895,-0.2352,680.6818,683.8909,9.1238,5541.2844,4614.6789,-14.5508,-0.4689,N/A,-23051.4963,3409,938.4924,530.0713,-9.1229,1549,1860,15.9835,544.2481,394.2443,N/A,0.8517,0.5167,163.0015,2.4864,1.4171,301.0635,4.5923,2.4341
xsQRnngphRdDUkNtdRp2,3/5/2024,6:27:01,WSD1,, ,Countermovement Jump,,,641.276,0.2744,151.6832,-0.2471,6856.1151,-6467.9277,1598,249.1907,1253.4245,195.4579,1598,249.1907,1285.3136,200.4306,1602,249.8144,0.238,38.8254,0.139,22.6754,0.236,38.4992,0.469,0.613,84.6061,152.7699,477.8545,237.376,1.8057,-0.8181,-1.3016,1.4586,2.3204,2.4171,-923.0111,-14.1199,-1293.2161,-19.7831,1684.092,25.7626,42.5174,2779.3463,-1.8773,784,814,-8.202,575.3094,678.1151,-1.3733,790,812,1.7519,653.9153,631.3983,16.4743,3992.8058,2863.3094,-15.2756,3.4246,N/A,-46988.4591,3433,840.4894,535.3389,6.3793,1826,1607,20.0749,504.6085,335.881,N/A,0.7651,0.4477,173.7435,2.6579,1.2943,304.111,4.6522,2.337
bg1w7RL5hRvQKcMkF9DF,3/5/2024,6:26:53,WSD1,, ,Countermovement Jump,,,641.397,0.2697,150.408,-0.2308,7236.2205,-6784.8577,1566,244.1546,1286.8346,200.63,1566,244.1546,1289.2629,201.0086,1579,246.1814,0.304,45.8522,0.127,19.1554,0.232,34.9925,0.471,0.663,81.5031,151.0719,462.8365,232.575,1.8536,-0.7596,-1.2473,1.4562,2.3005,2.4118,-887.6965,-13.5771,-1294.2497,-19.7952,1682.7941,25.7379,43.234,2826.726,-3.9591,752,814,-3.7435,619.3307,667.5039,-4.2432,756,823,-3.6987,620.7888,668.4741,-3.5909,3488.189,3748.0315,-7.2169,-7.1134,620,-25332.86,3336,886.6419,520.1147,-12.7098,1456,1880,-17.6232,365.1935,521.4484,-29.9791,0.7104,0.4068,162.9605,2.4924,1.2466,299.876,4.5865,2.3106
wjseZx5hogZ2BuAn22Ew,2/20/2024,6:25:55,WSD1,, ,Countermovement Jump,,,640.251,0.2902,155.7286,-0.2544,9589.2857,-6710.2722,1707,266.6142,1552.1875,242.4342,1705,266.3018,1316.3853,205.6046,1713,267.5513,0.237,40.8621,0.112,19.3103,0.231,39.8276,0.481,0.58,101.5809,157.022,478.209,258.6029,1.5458,-0.8784,-1.5673,1.4847,2.3861,2.4803,-1277.9723,-19.5812,-2083.9561,-31.9306,1758.0918,26.9377,45.7723,2987.3386,-0.4106,849,856,0.5286,780.1964,771.9911,-0.2919,854,859,1.3697,667.2078,649.1775,-2.0484,4696.4286,4892.8571,1.0596,2.6951,N/A,-38938.0869,4005,890.9933,625.5359,2.3221,2049,1956,8.8774,485.0454,405.9479,N/A,0.8293,0.5003,173.289,2.6552,1.5564,304.92,4.672,2.4059
7DQ5RhfuFvl1bdL1i4ke,2/20/2024,6:25:47,WSD1,, ,Countermovement Jump,,,639.424,0.2802,152.8321,-0.2396,9943.9252,-7109.1512,1703,266.3335,1487.028,232.5574,1783,278.8447,1307.2096,204.4355,1712,267.741,0.257,43.339,0.107,18.0438,0.229,38.6172,0.476,0.593,90.1536,153.7599,458.76,243.9135,1.7055,-0.8305,-1.3881,1.5201,2.3447,2.476,-1117.9081,-17.1509,-1832.9362,-28.1208,1757.5838,26.9647,46.0075,2998.8095,-7.4593,825,958,-4.3793,710.9533,776.0748,-1.5187,843,869,-3.2427,632.4105,674.7991,2.0677,5074.7664,4869.1589,-8.4312,-6.2591,N/A,-31908.1677,3083,775.3333,482.1527,-27.5381,1117,1966,-18.4929,315.9759,459.3574,N/A,0.8027,0.4725,158.572,2.4328,1.3831,300.188,4.6055,2.359
