TestId,Date,Time,Name,Segment,Position,Type,Excluded,Tags,System Weight,Jump Height,Jump Momentum,Countermovement Depth,Braking RFD,Stiffness,Force at Min Displacement,Relative Force at Min Displacement,Avg. Braking Force,Avg. Relative Braking Force,Peak Braking Force,Peak Relative Braking Force,Avg. Propulsive Force,Avg. Relative Propulsive Force,Peak Propulsive Force,Peak Relative Propulsive Force,Unweighting Phase,Unweighting Phase %,Braking Phase,Braking Phase %,Propulsive Phase,Propulsive Phase %,Flight Time,Time To Takeoff,Braking Net Impulse,Propulsive Net Impulse,Positive Impulse,Positive Net Impulse,Impulse Ratio,Avg. Braking Velocity,Peak Braking Velocity,Avg. Propulsive Velocity,Takeoff Velocity,Peak Velocity,Avg. Braking Power,Avg. Relative Braking Power,Peak Braking Power,Peak Relative Braking Power,Avg. Propulsive Power,Avg. Relative Propulsive Power,Peak Relative Propulsive Power,Peak Propulsive Power,L|R Peak Braking Force,Left Force at Peak Braking Force,Right Force at Peak Braking Force,L|R Avg. Braking Force,Left Avg. Braking Force,Right Avg. Braking Force,L|R Peak Propulsive Force,Left Force at Peak Propulsive Force,Right Force at Peak Propulsive Force,L|R Avg. Propulsive Force,Left Avg. Propulsive Force,Right Avg. Propulsive Force,L|R Avg. Braking RFD,Left Avg. Braking RFD,Right Avg. Braking RFD,L|R Braking Impulse Index,L|R Propulsive Impulse Index,Time to Stabilization,Landing Stiffness,Peak Landing Force,Avg. Landing Force,Relative Peak Landing Force,L|R Peak Landing Force,Left Force at Peak Landing Force,Right Force at Peak Landing Force,L|R Avg. Landing Force,Left Avg. Landing Force,Right Avg. Landing Force,L|R Landing Impulse Index,RSI,mRSI,Braking Impulse,Relative Braking Impulse,Relative Braking Net Impulse,Propulsive Impulse,Relative Propulsive Impulse,Relative Propulsive Net Impulse
NtkSUAOnV5KltZcNgkSO,2/13/2024,16:25:19,MSQ6,, ,Countermovement Jump,,,626.691,0.3505,167.5197,-0.1506,9125,-10972.7698,1653,263.7664,1103.625,176.1035,1646,262.6494,1593.3736,254.2519,2099,334.9338,0.223,43.8114,0.112,22.0039,0.174,34.1847,0.524,0.509,52.9026,169.0113,401.1475,221.9139,3.1948,-0.5807,-0.8421,1.6426,2.6223,2.7275,-566.1526,-8.8624,-718.8029,-11.2519,2296.2782,35.9451,62.5055,3993.0317,8.2625,891,755,8.1954,597.0357,506.5893,0.9052,1059,1040,0.2009,798.2874,795.0862,9.7847,5008.9286,4116.0714,15.1369,0.4775,N/A,-109965.5294,3790,731.7287,604.7638,4.4327,1979,1811,11.3098,407.2427,324.486,N/A,1.0295,0.6886,123.092,1.9268,0.8281,278.0555,4.3526,2.6456
Dquuc0HixmASd9iXjWGX,2/13/2024,16:25:14,MSQ6,, ,Countermovement Jump,,,622.062,0.3744,171.8695,-0.0255,10033.3333,-47781.1832,1220,196.1219,902.0333,145.007,1220,196.1219,1537.1223,247.1011,2108,338.873,0.122,32.973,0.06,16.2162,0.188,50.8108,0.497,0.37,16.4933,172.6253,343.39,189.1186,10.4664,-0.1787,-0.2628,1.6252,2.7104,2.834,-147.6602,-2.3286,-188.1814,-2.9676,2254.1913,35.5489,66.308,4204.6546,11.1475,678,542,11.5849,503.2667,398.7667,0.8539,1063,1045,0.1568,769.766,767.3564,10.299,5533.3333,4500,20.7743,0.3702,N/A,6102.4518,3564,741.7004,572.9332,-8.9787,1622,1942,-1.0921,366.8003,374.9001,N/A,1.3432,1.012,53.817,0.8487,0.2601,289.573,4.5666,2.7223
WY1Y9WP0UndnS7URH4yR,2/6/2024,16:31:01,MSQ6,, ,Countermovement Jump,,,628.466,0.296,154.3939,-0.1049,20180.5556,-20070.6813,2105,334.9425,1303.4583,207.4032,2082,331.2828,1751.1739,278.6426,2525,401.7719,0.271,56.341,0.072,14.9688,0.138,28.6902,0.497,0.481,47.8664,155.9617,335.806,203.8281,3.2583,-0.5221,-0.7623,1.6465,2.41,2.5278,-586.6356,-9.1571,-749.5093,-11.6994,2388.2602,37.2794,62.5308,4005.9643,5.9558,1103,979,8.9005,709.7361,593.7222,-0.2772,1259,1266,-2.8668,850.4855,900.6884,2.4088,10333.3333,9847.2222,16.4316,-5.4924,900,-23018.3384,3523,802.0789,560.5713,-0.4258,1754,1769,2.5222,411.1544,390.9244,4.9234,1.0333,0.6154,93.116,1.4535,0.7472,242.69,3.7883,2.4345
jhmQ5hT7zP0FNffmBL41,2/6/2024,16:30:54,MSQ6,, ,Countermovement Jump,,,629.688,0.315,159.5817,-0.121,12701.1494,-14392.1704,1742,276.6449,1234.3908,196.0321,1742,276.6449,1615.4568,256.5488,2224,353.1908,0.253,50.3984,0.087,17.3307,0.162,32.2709,0.505,0.502,52.0491,160.553,369.3945,212.6022,3.0846,-0.5281,-0.8165,1.647,2.4861,2.6168,-578.5448,-9.0132,-784.1455,-12.2163,2266.3084,35.3071,60.1201,3859.0116,8.1515,942,800,6.9018,659.7931,574.5977,1.4388,1128,1096,-0.914,800.3457,815.1111,9.8643,6977.0115,5724.1379,12.884,-1.7431,600,-65513.0191,4239,892.1217,673.1905,8.0444,2290,1949,7.4809,479.43,412.6917,13.912,1.006,0.6276,106.832,1.6644,0.8109,262.5625,4.0905,2.5013
IBPP1bdImjtzAfFYsrND,2/6/2024,16:30:48,MSQ6,, ,Countermovement Jump,,,628.979,0.3208,160.8588,-0.136,11391.7526,-12742.4645,1733,275.5259,1195.9485,190.1412,1733,275.5259,1605.0667,255.1861,2141,340.3929,0.228,46.5306,0.097,19.7959,0.165,33.6735,0.506,0.49,54.4385,161.905,381.136,216.3435,2.9741,-0.5743,-0.8561,1.6196,2.5089,2.6359,-603.3961,-9.411,-793.586,-12.3773,2246.2619,35.0343,62.1739,3986.3463,5.3664,913,820,6.6298,637.6186,558.3299,-1.2611,1057,1084,-2.773,780.2788,824.7879,0.2715,5711.3402,5680.4124,12.4891,-5.3351,N/A,-66335.8949,4026,760.5094,640.085,-0.6955,1999,2027,-15.4889,321.3575,439.1519,N/A,1.0327,0.6547,115.4495,1.8006,0.8491,265.6865,4.1438,2.5252
SOJlgPcXpzB8x3jD57dQ,2/13/2024,16:25:48,MSQ9,, ,Countermovement Jump,,,756.011,0.3563,203.7452,-0.2528,7940,-7709.9452,1949,257.8005,1278.8,169.151,1949,257.8005,1722.7441,227.8729,2113,279.4933,0.324,47.2993,0.15,21.8978,0.211,30.8029,0.543,0.685,77.8199,204.9377,555.6775,282.7575,2.6335,-0.7102,-1.0158,1.6844,2.6438,2.7693,-802.0289,-10.4071,-1008.6293,-13.088,2554.4861,33.147,56.8715,4382.8236,-5.9005,917,1032,-11.1167,568.32,710.48,-2.1297,1034,1079,-1.1953,851.0758,871.6682,-3.4425,3833.3333,4106.6667,-20.0471,-2.3916,N/A,-11.3676,5657,778.0874,748.2695,3.341,2923,2734,25.7414,489.1892,288.8983,N/A,0.7927,0.5201,191.2215,2.4813,1.0098,364.456,4.7292,2.6593
iLnGg9WHvDIfAvo6KZHp,2/13/2024,16:25:41,MSQ9,, ,Countermovement Jump,,,755.014,0.349,201.3918,-0.2127,12301.7241,-10242.2696,2179,288.6039,1446.8793,191.6361,2179,288.6039,1819.2804,240.9598,2354,311.7823,0.291,48.8255,0.116,19.4631,0.189,31.7114,0.539,0.596,79.5384,202.2189,512.0365,281.7572,2.5424,-0.6996,-1.0348,1.7232,2.6167,2.7411,-883.4152,-11.4783,-1167.4042,-15.1682,2700.2227,35.0844,58.1348,4474.2716,-4.6352,1039,1140,-12.4358,633.4741,813.4052,-2.8887,1143,1211,-3.7366,875.6508,943.6296,5.6762,6500,5801.7241,-22.243,-7.2026,N/A,-18764.1136,5851,887.2113,774.9525,-2.5466,2851,3000,15.0326,510.2912,376.9201,N/A,0.9044,0.5856,167.12,2.1714,1.0335,344.9165,4.4815,2.6275
QUz9pA6I0JiFtRZJFt6f,2/13/2024,16:25:35,MSQ9,, ,Countermovement Jump,,,756.575,0.3332,197.1975,-0.2355,10206.1069,-8907.6844,2098,277.3023,1362.5344,180.0924,2091,276.3771,1752.4975,231.6357,2218,293.1633,0.328,49.848,0.131,19.9088,0.199,30.2432,0.527,0.658,78.7097,199.2171,527.5965,277.9267,2.531,-0.7236,-1.0374,1.671,2.5569,2.6917,-864.2296,-11.2059,-1106.8179,-14.3514,2535.8518,32.8807,55.9352,4313.8776,0.3348,1049,1042,0.9984,688.0687,674.4656,0.0902,1110,1108,-0.9202,868.1859,884.3116,-2.3186,4984.7328,5221.374,2.002,-1.8118,660,-16528.6186,5786,1062.503,764.7623,6.9824,3095,2691,5.9688,562.9606,499.5424,11.2724,0.8009,0.5064,177.821,2.3057,1.0206,349.7755,4.5353,2.5831
CJKUD6qUuC5qmxhhu6wn,2/6/2024,16:31:25,MSQ9,, ,Countermovement Jump,,,760.052,0.3299,197.1159,-0.2081,9115.7025,-9000.1343,1873,246.4305,1376.9669,181.1675,1866,245.5095,1801.0737,236.9672,2291,301.4267,0.345,52.5915,0.121,18.4451,0.19,28.9634,0.521,0.656,74.0902,198.7126,509.179,272.8028,2.682,-0.6335,-0.9674,1.5937,2.5442,2.6573,-781.1148,-10.0819,-1040.4065,-13.4285,2535.9788,32.7319,56.6419,4388.4619,-3.8585,897,969,-6.9076,640.9256,736.0413,-1.5277,1128,1163,-3.8498,865.8684,935.2053,2.0852,4652.8926,4462.8099,-12.9752,-7.4087,N/A,-14431.7395,4437,896.1391,583.7758,-8.677,2026,2411,4.8801,469.9359,426.2032,N/A,0.7942,0.5029,166.0565,2.1433,0.9563,343.1225,4.4287,2.5648
nnl3CSHDSBC8yAFC6NHc,2/6/2024,16:31:19,MSQ9,, ,Countermovement Jump,,,759.682,0.3174,193.2398,-0.2137,10290.3226,-9529.2674,2036,268.0069,1364.129,179.5658,2036,268.0069,1792.123,235.9044,2322,305.6542,0.386,55.3802,0.124,17.7905,0.187,26.8293,0.501,0.697,74.3094,194.066,504.6365,268.3754,2.6116,-0.6516,-0.9609,1.6384,2.4954,2.6252,-783.2893,-10.1148,-1004.6945,-12.9739,2538.878,32.7853,55.8829,4327.5459,-8.1532,935,1101,-13.1408,592.4355,771.6935,-2.8424,1128,1194,-2.9275,869.8289,922.2941,0.9404,5193.5484,5096.7742,-23.312,-5.7201,700,-23517.5757,5768,1025.63,759.2651,6.7961,3080,2688,18.2197,606.2486,419.3814,30.8324,0.7188,0.4553,168.51,2.176,0.9596,336.1265,4.3405,2.506
