TestId,Date,Time,Name,Segment,Position,Type,Excluded,Tags,System Weight,Jump Height,Jump Momentum,Countermovement Depth,Braking RFD,Stiffness,Force at Min Displacement,Relative Force at Min Displacement,Avg. Braking Force,Avg. Relative Braking Force,Peak Braking Force,Peak Relative Braking Force,Avg. Propulsive Force,Avg. Relative Propulsive Force,Peak Propulsive Force,Peak Relative Propulsive Force,Unweighting Phase,Unweighting Phase %,Braking Phase,Braking Phase %,Propulsive Phase,Propulsive Phase %,Flight Time,Time To Takeoff,Braking Net Impulse,Propulsive Net Impulse,Positive Impulse,Positive Net Impulse,Impulse Ratio,Avg. Braking Velocity,Peak Braking Velocity,Avg. Propulsive Velocity,Takeoff Velocity,Peak Velocity,Avg. Braking Power,Avg. Relative Braking Power,Peak Braking Power,Peak Relative Braking Power,Avg. Propulsive Power,Avg. Relative Propulsive Power,Peak Relative Propulsive Power,Peak Propulsive Power,L|R Peak Braking Force,Left Force at Peak Braking Force,Right Force at Peak Braking Force,L|R Avg. Braking Force,Left Avg. Braking Force,Right Avg. Braking Force,L|R Peak Propulsive Force,Left Force at Peak Propulsive Force,Right Force at Peak Propulsive Force,L|R Avg. Propulsive Force,Left Avg. Propulsive Force,Right Avg. Propulsive Force,L|R Avg. Braking RFD,Left Avg. Braking RFD,Right Avg. Braking RFD,L|R Braking Impulse Index,L|R Propulsive Impulse Index,Time to Stabilization,Landing Stiffness,Peak Landing Force,Avg. Landing Force,Relative Peak Landing Force,L|R Peak Landing Force,Left Force at Peak Landing Force,Right Force at Peak Landing Force,L|R Avg. Landing Force,Left Avg. Landing Force,Right Avg. Landing Force,L|R Landing Impulse Index,RSI,mRSI,Braking Impulse,Relative Braking Impulse,Relative Braking Net Impulse,Propulsive Impulse,Relative Propulsive Impulse,Relative Propulsive Net Impulse
rLJPZLbLoPDbGXeVlbOO,4/11/2024,15:57:06,SB1,, ,Countermovement Jump,,,686.259,0.3232,176.1597,-0.3194,4231.1828,-4615.1341,1474,214.7877,1137.2312,165.7146,1474,214.7877,1281.7037,186.7668,1530,222.9479,0.353,42.2249,0.186,22.2488,0.297,35.5263,0.525,0.836,83.4853,177.5636,592.512,261.0489,2.1269,-0.7972,-1.2042,1.4108,2.5182,2.6151,-819.7626,-11.7184,-1094.5293,-15.6462,1717.8032,24.5558,49.6408,3472.622,-13.0258,641,833,-17.7185,467.8656,669.3656,-0.915,758,772,-4.5137,611.9259,669.7778,-0.3812,2107.5269,2123.6559,-30.15,-8.6625,N/A,-3595.2981,3090,959.1367,450.2673,-8.6084,1412,1678,-17.1789,397.1839,561.9527,N/A,0.628,0.3866,211.1295,3.0181,1.1934,381.3825,5.4518,2.5383
lf9zIhcvrRWH0Obw0Idf,4/11/2024,15:56:55,SB1,, ,Countermovement Jump,,,687.303,0.3214,175.9234,-0.3219,3984.127,-4464.1438,1437,209.0781,1174.9365,170.9488,1440,209.5146,1278.2852,185.9857,1522,221.4453,0.4,45.0958,0.189,21.3078,0.298,33.5964,0.523,0.887,91.7817,176.8147,603.313,268.5964,1.9265,-0.8185,-1.3134,1.4019,2.511,2.6132,-882.29,-12.5931,-1225.3202,-17.4892,1707.5289,24.3719,49.72,3483.4528,-9.0278,655,785,-14.1037,504.6138,670.3228,-1.9711,746,776,-4.4819,610.4966,667.7886,7.5697,2142.8571,1841.2698,-24.7767,-8.5854,N/A,-3796.9465,2387,1245.4201,347.2995,-20.6535,947,1440,-20.9634,492.1689,753.2511,N/A,0.5896,0.3623,221.682,3.1641,1.31,381.631,5.4471,2.5237
BZL9MADXfnKKogbcMBac,4/4/2024,16:11:55,SB1,, ,Countermovement Jump,,,685.626,0.3067,171.4516,-0.3126,3913.9785,-4529.3759,1416,206.5266,1125.586,164.1691,1416,206.5266,1259.7793,183.7415,1528,222.862,0.29,37.4194,0.186,24,0.299,38.5806,0.512,0.775,81.4661,172.3633,586.358,253.8294,2.1158,-0.7546,-1.1693,1.3687,2.4531,2.5609,-774.2386,-11.0779,-1060.1407,-15.1686,1644.4481,23.5289,48.3192,3377.0557,-12.0056,623,793,-14.9022,478.9247,646.6613,-2.6178,744,784,-6.2696,590.398,669.3813,-1.3736,1930.1075,1983.871,-25.9752,-11.8117,N/A,-3650.8008,1997,1261.9535,291.2667,-17.2759,826,1171,-14.6165,538.75,723.2035,N/A,0.6606,0.3958,208.9925,2.9903,1.1656,377.3655,5.3994,2.4662
ABsn7CzjKz0YzvBkkG5R,4/4/2024,16:11:50,SB1,, ,Countermovement Jump,,,683.142,0.3212,174.8094,-0.3088,5206.0606,-4974.4147,1536,224.8434,1268.0485,185.62,1544,226.0145,1291.5694,189.0631,1548,226.6,0.319,41.3212,0.165,21.3731,0.288,37.3057,0.517,0.772,96.0736,175.9776,581.5145,272.0512,1.8317,-0.8574,-1.3871,1.4169,2.5103,2.6149,-991.7653,-14.2419,-1373.1414,-19.7185,1732.6998,24.8818,50.271,3500.7387,-8.2902,708,836,-13.6951,547.1939,720.8545,-2.4548,755,793,-6.4112,604.3819,687.1875,8.0326,2812.1212,2393.9394,-24.1604,-12.0548,N/A,-3818.5495,2020,1178.6196,295.6926,-1.8812,991,1029,-10.8122,525.5922,653.0275,N/A,0.6697,0.416,208.792,2.9983,1.3796,372.7225,5.3523,2.5271
f4NVQ0aqscYinMgvKf91,3/26/2024,15:49:52,SB1,, ,Countermovement Jump,,,685.66,0.3128,173.1593,-0.3119,4625,-4809.5587,1500,218.7673,1180.1989,172.126,1500,218.7673,1277.7713,186.3564,1514,220.8091,0.343,42.2414,0.176,21.6749,0.293,36.0837,0.514,0.812,86.6278,174.2221,582.4245,260.85,2.0112,-0.809,-1.2453,1.424,2.4775,2.5843,-862.6279,-12.3419,-1134.9779,-16.2386,1711.2439,24.4834,48.7851,3409.7839,-11.4667,664,836,-11.0522,524.8807,655.3182,-1.8494,743,771,-6.9407,594.5427,683.2287,0.2457,2318.1818,2306.8182,-19.94,-12.9891,N/A,-3725.6451,1809,1072.2864,263.8334,-0.9397,896,913,-7.7346,494.6745,577.6119,N/A,0.633,0.3853,207.304,2.966,1.2394,375.1205,5.367,2.4927
Y0rvjqcIYjQt4oJQgmIJ,3/26/2024,15:49:46,SB1,, ,Countermovement Jump,,,686.047,0.3287,177.6063,-0.3132,5138.5542,-4930.0309,1544,225.0575,1266.7289,184.6417,1544,225.0575,1303.0868,189.9413,1543,224.9117,0.256,36.0563,0.166,23.3803,0.288,40.5634,0.519,0.71,95.9612,178.4615,585.888,274.4227,1.8597,-0.8544,-1.375,1.4646,2.5396,2.6432,-984.4318,-14.0767,-1396.0608,-19.9627,1790.7929,25.6071,50.0565,3500.6226,-10.8808,688,856,-13.3181,549.012,717.7169,-10.8231,688,855,-6.0537,612.1007,690.9861,-1.524,2530.1205,2608.4337,-23.5433,-11.4302,N/A,-3921.0762,2457,929.3435,358.1387,-0.2035,1226,1231,-10.6862,415.0158,514.3276,N/A,0.731,0.463,209.845,3.0006,1.3722,376.043,5.3772,2.5519
5q8Vqpu0WpTBavLj2Xds,3/21/2024,15:56:22,SB1,, ,Countermovement Jump,,,679.623,0.3264,175.3041,-0.3161,5877.3006,-5166.8703,1633,240.2803,1256.8896,184.9392,1640,241.3103,1303.6809,191.8241,1633,240.2803,0.336,43.0218,0.163,20.8707,0.282,36.1076,0.521,0.781,93.6105,176.7853,572.828,270.3958,1.8885,-0.8843,-1.3633,1.4779,2.5304,2.6337,-995.9139,-14.3755,-1324.7124,-19.1215,1793.8923,25.8939,49.8907,3456.3558,-10.9756,730,910,-12.7391,548.3865,708.5031,-10.8389,728,905,-3.2663,630.5496,673.1312,-6.263,2754.6012,3122.6994,-22.6221,-6.3594,N/A,-3690.5132,2820,859.1952,414.9359,-10.7801,1258,1562,-35.0453,279.044,580.1512,N/A,0.6671,0.4179,204.389,2.9502,1.3512,368.439,5.3182,2.5518
so2oaGte70RW2HOu3IXn,3/21/2024,15:56:16,SB1,, ,Countermovement Jump,,,678.691,0.3374,178.0096,-0.2931,6914.2857,-5615.2874,1646,242.5257,1343.2214,197.9135,1662,244.8832,1355.9735,199.7925,1646,242.5257,0.266,39.7015,0.14,20.8955,0.264,39.403,0.53,0.67,92.5468,179.6111,546.349,272.1578,1.9408,-0.8575,-1.3514,1.521,2.573,2.6747,-1033.2275,-14.9346,-1468.8037,-21.2305,1902.9735,27.5061,51.0158,3529.4556,-9.8676,749,913,-14.0754,577.0786,766.1429,-10.2066,739,907,-4.9391,644.5,711.4735,5.5785,3650,3264.2857,-24.7553,-9.4334,N/A,-4171.8971,2240,862.8213,330.0471,-6.6071,1046,1194,-14.7849,367.6271,495.1942,N/A,0.791,0.5036,187.5635,2.7111,1.3377,358.7855,5.186,2.5962
OXf6NC3GgP7yHK2MJ7EB,3/18/2024,16:57:47,SB1,, ,Countermovement Jump,,,678.957,0.3014,168.3007,-0.3158,5628.0488,-5056.7697,1597,235.2137,1276.8902,188.0664,1601,235.8029,1259.8828,185.5615,1596,235.0664,0.292,39.1421,0.164,21.9839,0.29,38.874,0.497,0.746,97.5951,169.253,575.0945,266.848,1.7342,-0.8932,-1.4146,1.474,2.4317,2.5848,-1028.6252,-14.8622,-1439.7767,-20.8028,1709.1685,24.6951,48.0505,3325.6093,-11.93,705,896,-14.5991,545.2378,731.6524,-11.9048,703,893,-10.521,563.6655,696.2172,3.1419,2902.439,2725.6098,-25.5383,-19.0384,N/A,-4105.5636,2082,895.1323,306.6468,-68.3958,329,1753,-23.5574,342.131,553.0013,N/A,0.6662,0.404,208.944,3.019,1.4101,366.1505,5.2904,2.4455
SRz4gtmZ2XgJY8dk0e17,3/18/2024,16:57:39,SB1,, ,Countermovement Jump,,,678.25,0.3144,171.7038,-0.286,6601.3514,-5775.5301,1652,243.568,1320.6351,194.7121,1652,243.568,1316.8513,194.1543,1651,243.4206,0.232,35.7473,0.148,22.8043,0.269,41.4484,0.5,0.649,94.579,172.5953,550.0045,267.1743,1.8249,-0.8602,-1.3715,1.504,2.4835,2.6004,-1022.7809,-14.7932,-1421.2429,-20.5564,1815.7714,26.2628,48.4902,3352.5493,-7.7482,762,890,-10.559,590.5946,730.0405,-7.6923,762,889,-2.5348,641.7361,675.1152,-1.1259,3263.5135,3337.8378,-19.139,-4.972,N/A,-5013.1637,1912,817.7441,281.902,18.6192,1134,778,-10.4524,366.1352,451.6089,N/A,0.7704,0.4844,194.96,2.8198,1.368,355.0445,5.1353,2.4964
