TestId,Date,Time,mRSI,injury_log
LBrzNxXMkCckqH6I37FC,04-16-2024,15:20:26,0.8228,1
obdaLJJpA0veWNEbkgXZ,04-19-2024,14:54:35,0.6865,1
xs4JaGoWbT6u3GfMrbMn,04-04-2024,15:21:41,0.5963,1
2NXcR02pojld48VtJVsv,03-28-2024,15:20:09,0.5776,1
idgUsdGMwwCRgpF1UlEC,04-19-2024,14:53:51,0.7139,1
ViVjEy36g6Vg9rG7wt5c,03-19-2024,15:21:54,0.6399,1
C9N3YAnAgTDSJFtWxe2S,02-08-2024,15:20:36,0.7343,1
50GBjt8YXlttEQ9mYY3b,04-11-2024,15:20:53,0.7265,1
UaW6m8vGWoQxzIWVyYqz,02-13-2024,15:24:09,0.8492,1
MDfXklrgGsMM1VHkZA4Z,01-23-2024,15:22:09,0.8135,1
tSuejJCoHR1eqL2Tr8F8,04-26-2024,15:05:54,0.7435,1
Oy9mVRvqksqs7LTpPC7I,03-07-2024,15:21:18,0.8052,1
3xvTUGR7ZqO5kv4KItEv,04-11-2024,15:20:12,0.7504,1
f39ekGxzKytYnhQgc7UV,02-01-2024,15:27:45,0.7045,1
caLLYtqp4hnRRCVpc1oW,01-30-2024,15:20:52,0.85,1
OrEIuYsQS7PE63LnspxQ,02-06-2024,15:20:15,0.6791,1
zxpQbeR7JmgUYmUX79DE,05-01-2024,11:54:51,0.6524,1
WEEAS6LdZaBl6UINFI9j,02-08-2024,15:20:18,0.8097,1
5iebramGMzy66edm7fvb,01-16-2024,15:17:28,0.624,1
K7GBdqteZnz77dsPNEni,05-13-2024,13:08:54,0.614,1
aVFl29FX1VV4bmxm8tuN,02-01-2024,15:27:53,0.764,1
g0Xc6U5Am6RoLx5g5p1G,01-30-2024,15:20:42,0.8146,1
7ayGRsRPFRjrZKhTmtyB,05-22-2024,9:51:15,0.5853,1
EmPMD2ZhhCogPjaMMgPw,03-28-2024,15:19:56,0.5748,1
YGGczlAphJLBYMoDYuBL,01-18-2024,15:21:18,0.7113,1
RYr3R7MWBVNTxxHYHUM4,05-03-2024,13:52:44,0.7849,1
PlH7knqRt5LC3BqB3Gmv,05-13-2024,13:08:42,0.5971,1
P9C6hkJm8XECVeIx4zkE,03-14-2024,12:25:16,0.5153,1
Y9j01NGlrSOW8Ru7p3MQ,01-23-2024,15:22:00,0.8279,1
uFUf2YvUW4QpUUJGsHYt,02-20-2024,15:21:04,0.7879,1
AOQUYyWpZevQgOcZN5ww,01-15-2024,15:24:15,0.8343,1
u41nudU55uCvbnczZrSl,04-04-2024,15:21:53,0.6697,1
n9DWMRoYf9F8OkINHpma,01-15-2024,15:24:25,0.6914,1
AZvBrwzoOMs4ZhR3VMaI,05-15-2024,9:54:54,0.6938,1
Ng9k02I8zc6eOoVKv4Fe,02-06-2024,15:19:59,0.8772,1
RVOANr0mLeZWLHkZ0p2g,05-22-2024,9:51:23,0.6418,1
MDPTaxnrd3TTXatendGC,02-15-2024,15:09:47,0.7655,1
IH8AOobqNsjIY9WSs5pv,01-25-2024,15:24:27,0.7694,1
QIkMbDmyTCyqxcvuD8i6,02-15-2024,15:10:44,0.7182,1
DANZhDCVKm2mivFZHJOO,02-20-2024,15:20:51,0.7696,1
hDwehr1iTfFkMBKhT8mR,04-23-2024,15:20:37,0.758,1
WMkM7yN189nZyHlwWtAy,04-23-2024,15:21:13,0.6986,1
JHjcjUMs3p9mFeBGTKbl,05-01-2024,11:54:20,0.6177,1
bYoih0TTVDO5Wym8ifRl,03-06-2024,15:32:37,0.7751,1
TeW9jZvIVFfWrTnAoDJB,02-29-2024,15:21:53,0.774,1
xpMgpQPDDg4MsRjkErdZ,05-08-2024,15:20:21,0.6514,1
ZRyQWS0n9weCwUuVjIGe,04-08-2024,15:28:50,0.7119,1
jbSRyQaqYZ0tmlSq6S0b,05-08-2024,15:20:37,0.6476,1
wvrdUUffQdEc6LEV68un,02-06-2024,15:20:05,0.8353,1
p5IWkbhqd2D8006GWOxO,04-04-2024,15:21:07,0.6867,1
9njFc0XiBfdAf4XRgDrK,01-16-2024,15:17:19,0.7148,1
Qvcd2GtBhIhyibW7ovzg,02-08-2024,15:20:27,0.8489,1
FDm728sHuKyAOwnXus8u,05-08-2024,15:16:07,0.7689,1
zTxhCs2xZLXN4suQ1n5n,03-19-2024,15:23:54,0.6282,1
oQf6iat6DrPKLdC2r8Ow,05-03-2024,13:55:10,0.7452,1
rdLsq5zHY0qhGkTq7Qgc,03-26-2024,15:29:41,0.812,1
mjeZi75bJKC2YfbJJX8Y,04-11-2024,15:22:56,0.7661,1
w3A6IRhHIttvSJmSU74p,02-01-2024,15:31:05,0.6433,1
U91jN6NWJOBpPYazyHZ8,02-27-2024,15:21:29,0.7262,1
ShLKP65QNNy757p5VYZ8,01-16-2024,15:20:50,0.7255,1
Fvhv4psUCK1LpX6Diog7,04-23-2024,15:22:48,0.8172,1
1Xief2khyorMRGao9Jzs,01-30-2024,15:23:31,0.728,1
Po1hN79mojPZbiONE0V7,01-15-2024,15:27:03,0.6986,1
nBKo4TlSnX6qbxeCEGSi,01-23-2024,15:24:43,0.6861,1
dSOs6Rn1z0ynauHsKnug,02-07-2024,14:29:33,0.7319,1
8wmoREgM11ecAgg3w7lk,05-15-2024,9:56:55,0.7279,1
n1UytOT4GyxYVapMVHM7,01-18-2024,15:23:04,0.6804,1
cdW3Dp3LrufiNfzbWVD6,02-01-2024,15:30:58,0.6796,1
HI59mWWjNrAyCtsQVcDX,01-16-2024,15:20:42,0.6855,1
rTD1ZoFh9GUdzT93RuQ6,05-08-2024,15:16:17,0.7812,1
EX1eLOSgcomUSMWkjg46,02-08-2024,15:26:34,0.6837,1
YqxM1AqAlQvN2REfD6Bj,03-06-2024,15:34:22,0.6783,1
7uo6X4nQF6kqELNCbFhk,05-13-2024,13:11:00,0.7421,1
bCrI3Gt7YUy3K9epWVY5,03-19-2024,15:24:01,0.5583,1
dto5CqczyUGmVtUzxPN2,04-08-2024,15:30:23,0.8108,1
buxF8hXbkK3e0PAePRq2,04-26-2024,15:07:49,0.7386,1
lK1KGYROk3EqsJ88ZVuV,03-19-2024,15:24:12,0.7536,1
AOD1YQZf0i4xeviGl7xP,04-04-2024,15:23:59,0.7971,1
Xuzrtbih4Q1bMgvaLwEP,01-23-2024,15:24:32,0.6848,1
OUv4jxpf1OVqPM7lU9xx,03-28-2024,15:22:48,0.8051,1
H5Kp0Jd4sDMQVPAW3GKZ,01-30-2024,15:23:22,0.6943,1
jhF16im8OVXhDzsbdTQV,02-08-2024,15:26:52,0.6913,1
6Pm8zJekOpXtYLgq7140,02-13-2024,15:26:32,0.6897,1
80XotzDf0Ka4cwlyOB83,05-22-2024,9:53:47,0.6736,1
qpwd2o7qRkVATeIJCR1Y,01-25-2024,15:27:27,0.7111,1
ZgZevMBiqU6RlHv3u8Qe,04-19-2024,14:56:45,0.7317,1
UkEIkJ5ccA4XuUlgzAKi,03-14-2024,12:27:39,0.6864,1
g3mXZ7IfT9xuQuy1Id7g,02-13-2024,15:26:41,0.6712,1
KETHuyfoIjJ4otdUa62q,02-15-2024,15:19:34,0.7301,1
2COWvkK78c9AEeTfKXGQ,03-07-2024,15:23:43,0.768,1
syyFnGph4rIc7BZHbdL4,02-29-2024,15:24:22,0.7093,1
hHwGocgCp8fjBhYv7w2y,01-25-2024,15:27:17,0.6988,1
MXD6naXFNhqu27zcv3Pn,02-08-2024,15:26:43,0.6823,1
OM7B4WTVcwc7GBpEM7wA,02-07-2024,14:29:21,0.6576,1
8NKV6RcJtyYGeZLgc67O,04-16-2024,15:22:15,0.774,1
TsEpLIjEZ4j3i7Cs7jvf,02-07-2024,14:28:41,0.6002,1
psE0BxQT7tEvC5XsafA6,02-27-2024,15:21:22,0.7505,1
bXa5fWkIg4uKBXhvBt1j,05-01-2024,11:57:01,0.7216,1
wMhQSDiNdjuIn2y0HNMV,01-15-2024,15:26:55,0.7964,1
aY1uTXtMpPISkeYZTZQh,03-14-2024,12:27:48,0.6972,1
TsSxba5A3tNzfOgeK6hl,03-28-2024,15:23:02,0.6253,0
3LvMCA5GLvzhlOKpMhpX,01-25-2024,15:27:45,0.4796,0
gjDyhmuY7gi9sbSx6Hv4,03-26-2024,15:29:52,0.5189,0
GLinEULWWkDMObXSYRYi,05-22-2024,9:53:59,0.5394,0
0rVWnxZqEylR5Vf5xu7X,02-06-2024,15:22:21,0.5567,0
3mkZpTo551icHukUxxQU,02-06-2024,15:22:15,0.5923,0
Mz7RVOew5OfPJphkYNti,05-08-2024,15:16:48,0.6219,0
I8oag8C3RLh5AKQgA1Cf,05-22-2024,9:54:08,0.575,0
4dTFGC47y3z797FazVOW,04-16-2024,15:27:30,0.6344,0
h1fjxtsyL4E8XuiwXkm5,03-06-2024,15:34:34,0.5977,0
lhsMUTVsFuAfaGOQQWNE,01-16-2024,15:21:15,0.6057,0
2GhCmyRG57fxuZzTe5ap,03-21-2024,15:21:04,0.6389,0
o8Mnt81RCyYhgdkE1oR4,02-01-2024,15:31:16,0.6528,0
ZB4qnmkGDN0nmQAFr8c6,02-01-2024,15:31:23,0.5935,0
WxkJCJcC5QHtgm1r4OAF,02-06-2024,15:22:27,0.5573,0
ekQ7DLDzMk9lw4dWPeJt,05-01-2024,11:57:12,0.706,0
4pw4Xpz96suFUc6mqr1e,01-25-2024,15:27:38,0.5788,0
urOA3g8IOtlYF1vMN5Ql,01-18-2024,15:22:50,0.6224,0
6L29SJorw1sR4xmuhcsB,03-14-2024,12:28:02,0.5605,0
DFEfDLauU880fQijOE8n,01-23-2024,15:24:55,0.6327,0
ZhveBKVISALlXuvVIdGF,03-19-2024,15:24:24,0.5958,0
j8aGGDcUuld1yXvzKonn,01-15-2024,15:26:19,0.5953,0
mDVahBk1U8AwyDQC01O2,02-13-2024,15:26:58,0.6498,0
jkOVs5nnw5dUSn27m6EC,02-13-2024,15:27:07,0.7021,0
tB0HGHdUUIR4N0gCBn50,02-29-2024,15:24:33,0.7,0
c4a38i41TAhU8IabpUGy,04-11-2024,15:23:06,0.6505,0
5Xmu7hdfWHVTR5aJwvUM,01-23-2024,15:25:03,0.5104,0
65JMWiIk1tBnj6f21QLa,02-08-2024,15:23:16,0.542,0
TpMmzUb5txnRV5T13y59,05-08-2024,15:16:37,0.7161,0
lTLk9s7NTnlb0x0WeZBR,01-16-2024,15:21:08,0.5414,0
82X7dyPRjGEI8zP3nzve,02-08-2024,15:23:01,0.5643,0
NluD6VGBacRlFfMgc2AE,02-08-2024,15:23:08,0.5602,0
EIHGZbeKoiucVdWjGK9y,01-15-2024,15:26:08,0.5154,0
UdAeuWJUttK3jKGtF3wf,03-07-2024,15:23:56,0.619,0
GrozlGmPgfmU5IpUX6TP,04-19-2024,14:56:55,0.6193,0
qrmrpth2W64KIc7wxyVM,05-15-2024,9:57:15,0.5593,0
bwsda85mmxJCDV60An0V,05-03-2024,13:55:21,0.5981,0
tZkX2LTzMlDP3O13QJG9,04-23-2024,15:22:57,0.6187,0
hZ7NPEUoCMYdSMZTuxsq,05-13-2024,13:11:13,0.6203,0
OEHw0jE55fCcrO0qYX7S,01-30-2024,15:23:43,0.5621,0
mgkUbQEf78Oq98g8Z4pv,05-15-2024,9:57:06,0.5771,0
W4NIIfGtpmwACUN08sPF,04-04-2024,15:24:11,0.6407,0
qUqldaVz92jsvJtdGQVI,01-30-2024,15:23:50,0.654,0
U8k5y7rNVJtAkbw4z1hr,04-08-2024,15:30:38,0.6437,0
11zC8VlkoJN49SnpD1cr,04-26-2024,15:08:21,0.7241,0
gdEA88TUIPH8M9mVUnMZ,02-15-2024,15:12:15,0.6876,0
G0y1VtwtTAwhIK45YHnk,05-01-2024,11:57:27,0.6094,0
N11CIB1Ihx50PY8xolf1,02-13-2024,15:27:27,0.5999,0
zNrRmg881RjfbX0wsKfa,01-16-2024,15:22:04,0.6695,0
Q3tFcuxWYjNf6fZelXBP,05-15-2024,9:58:10,0.5758,0
FwiRLFqtIMkIbD0Q1vLE,01-30-2024,15:24:31,0.6161,0
CdgVBWwkBOnMDlvfbe18,04-19-2024,14:57:39,0.6487,0
Db20WL822vVQylAYTKVz,02-15-2024,15:12:27,0.5957,0
