TestId,Date,Gender,team,Peak Braking Velocity,Peak Propulsive Power,Avg. Braking Power,Peak Braking Force,Avg. Braking Velocity,gender_binary,sport_name,field_court_binary
LBrzNxXMkCckqH6I37FC,04-16-2024,Men,Baseball,-1.4504,5690.7923,-1247.8481,2103.0,-0.9259,0.0,Baseball,1.0
obdaLJJpA0veWNEbkgXZ,04-19-2024,Men,Baseball,-1.4495,5355.7655,-1159.8492,1962.0,-0.914,0.0,Baseball,1.0
xs4JaGoWbT6u3GfMrbMn,04-04-2024,Men,Baseball,-1.2848,5399.7389,-973.1302,1799.0,-0.8051,0.0,Baseball,1.0
2NXcR02pojld48VtJVsv,03-28-2024,Men,Baseball,-1.3501,5207.9691,-1110.9723,2046.0,-0.9181,0.0,Baseball,1.0
idgUsdGMwwCRgpF1UlEC,04-19-2024,Men,Baseball,-1.3783,5529.0796,-1131.7862,2071.0,-0.9112,0.0,Baseball,1.0
ViVjEy36g6Vg9rG7wt5c,03-19-2024,Men,Baseball,-1.4001,5696.0727,-1124.5623,1871.0,-0.8646,0.0,Baseball,1.0
C9N3YAnAgTDSJFtWxe2S,02-08-2024,Men,Baseball,-1.4458,5834.0931,-1191.438,2049.0,-0.916,0.0,Baseball,1.0
50GBjt8YXlttEQ9mYY3b,04-11-2024,Men,Baseball,-1.4861,5596.723,-1216.6591,1941.0,-0.9016,0.0,Baseball,1.0
UaW6m8vGWoQxzIWVyYqz,02-13-2024,Men,Baseball,-1.5499,5943.7072,-1470.7531,2304.0,-0.9868,0.0,Baseball,1.0
MDfXklrgGsMM1VHkZA4Z,01-23-2024,Men,Baseball,-1.5273,6093.1693,-1399.4596,2320.0,-0.9495,0.0,Baseball,1.0
tSuejJCoHR1eqL2Tr8F8,04-26-2024,Men,Baseball,-1.4411,5626.3148,-1211.1059,1990.0,-0.9136,0.0,Baseball,1.0
Oy9mVRvqksqs7LTpPC7I,03-07-2024,Men,Baseball,-1.5649,5848.1401,-1460.949,2292.0,-0.975,0.0,Baseball,1.0
3xvTUGR7ZqO5kv4KItEv,04-11-2024,Men,Baseball,-1.4404,5682.633,-1211.204,1967.0,-0.896,0.0,Baseball,1.0
f39ekGxzKytYnhQgc7UV,02-01-2024,Men,Baseball,-1.4485,5949.942,-1282.5,2145.0,-0.9123,0.0,Baseball,1.0
caLLYtqp4hnRRCVpc1oW,01-30-2024,Men,Baseball,-1.5771,6207.8387,-1519.5861,2435.0,-1.0084,0.0,Baseball,1.0
OrEIuYsQS7PE63LnspxQ,02-06-2024,Men,Baseball,-1.587,5932.1386,-1456.1671,2272.0,-0.9705,0.0,Baseball,1.0
zxpQbeR7JmgUYmUX79DE,05-01-2024,Men,Baseball,-1.3518,5300.6668,-1006.8749,1759.0,-0.8282,0.0,Baseball,1.0
WEEAS6LdZaBl6UINFI9j,02-08-2024,Men,Baseball,-1.5453,5990.1967,-1353.5521,2168.0,-0.9356,0.0,Baseball,1.0
5iebramGMzy66edm7fvb,01-16-2024,Men,Baseball,-1.4613,5692.8204,-1228.0639,1958.0,-0.9097,0.0,Baseball,1.0
K7GBdqteZnz77dsPNEni,05-13-2024,Men,Baseball,-1.4017,4996.1603,-1172.6484,1994.0,-0.8781,0.0,Baseball,1.0
aVFl29FX1VV4bmxm8tuN,02-01-2024,Men,Baseball,-1.6215,5700.4042,-1538.5521,2247.0,-1.0025,0.0,Baseball,1.0
g0Xc6U5Am6RoLx5g5p1G,01-30-2024,Men,Baseball,-1.412,6266.6701,-1273.169,2265.0,-0.9015,0.0,Baseball,1.0
7ayGRsRPFRjrZKhTmtyB,05-22-2024,Men,Baseball,-1.3634,5541.5102,-1118.5872,1847.0,-0.856,0.0,Baseball,1.0
EmPMD2ZhhCogPjaMMgPw,03-28-2024,Men,Baseball,-1.296,5320.8284,-974.4577,1808.0,-0.83,0.0,Baseball,1.0
YGGczlAphJLBYMoDYuBL,01-18-2024,Men,Baseball,-1.4066,5915.3132,-1146.6507,1893.0,-0.9032,0.0,Baseball,1.0
RYr3R7MWBVNTxxHYHUM4,05-03-2024,Men,Baseball,-1.4899,5565.8158,-1254.2758,1930.0,-0.9055,0.0,Baseball,1.0
PlH7knqRt5LC3BqB3Gmv,05-13-2024,Men,Baseball,-1.1897,5104.5793,-831.9472,1576.0,-0.7403,0.0,Baseball,1.0
P9C6hkJm8XECVeIx4zkE,03-14-2024,Men,Baseball,-1.2704,5224.4849,-976.9657,1846.0,-0.7981,0.0,Baseball,1.0
Y9j01NGlrSOW8Ru7p3MQ,01-23-2024,Men,Baseball,-1.5971,6030.9529,-1556.5938,2354.0,-1.0028,0.0,Baseball,1.0
uFUf2YvUW4QpUUJGsHYt,02-20-2024,Men,Baseball,-1.512,5772.358,-1307.6671,2141.0,-0.9454,0.0,Baseball,1.0
AOQUYyWpZevQgOcZN5ww,01-15-2024,Men,Baseball,-1.5279,6083.1325,-1493.2681,2283.0,-0.9322,0.0,Baseball,1.0
u41nudU55uCvbnczZrSl,04-04-2024,Men,Baseball,-1.4157,5325.7171,-1195.3359,2045.0,-0.9199,0.0,Baseball,1.0
n9DWMRoYf9F8OkINHpma,01-15-2024,Men,Baseball,-1.5415,5851.2969,-1436.3578,2289.0,-0.9827,0.0,Baseball,1.0
AZvBrwzoOMs4ZhR3VMaI,05-15-2024,Men,Baseball,-1.4949,5478.0714,-1265.1228,1934.0,-0.8993,0.0,Baseball,1.0
Ng9k02I8zc6eOoVKv4Fe,02-06-2024,Men,Baseball,-1.5911,6183.8963,-1599.1512,2389.0,-0.9873,0.0,Baseball,1.0
RVOANr0mLeZWLHkZ0p2g,05-22-2024,Men,Baseball,-1.5284,5381.5353,-1351.6861,2115.0,-0.9438,0.0,Baseball,1.0
MDPTaxnrd3TTXatendGC,02-15-2024,Men,Baseball,-1.4546,5800.5638,-1271.6844,2139.0,-0.8982,0.0,Baseball,1.0
IH8AOobqNsjIY9WSs5pv,01-25-2024,Men,Baseball,-1.5609,5712.4598,-1443.3489,2274.0,-1.0155,0.0,Baseball,1.0
QIkMbDmyTCyqxcvuD8i6,02-15-2024,Men,Baseball,-1.414,5775.9224,-1214.6533,2116.0,-0.886,0.0,Baseball,1.0
DANZhDCVKm2mivFZHJOO,02-20-2024,Men,Baseball,-1.5012,5761.4521,-1380.1884,2242.0,-0.9519,0.0,Baseball,1.0
hDwehr1iTfFkMBKhT8mR,04-23-2024,Men,Baseball,-1.5403,5741.8886,-1378.8519,2182.0,-0.9686,0.0,Baseball,1.0
WMkM7yN189nZyHlwWtAy,04-23-2024,Men,Baseball,-1.5679,5438.4722,-1411.8364,2126.0,-0.9867,0.0,Baseball,1.0
JHjcjUMs3p9mFeBGTKbl,05-01-2024,Men,Baseball,-1.1981,5440.3362,-846.2914,1700.0,-0.7599,0.0,Baseball,1.0
bYoih0TTVDO5Wym8ifRl,03-06-2024,Men,Baseball,-1.5686,5813.46,-1452.627,2233.0,-0.9868,0.0,Baseball,1.0
TeW9jZvIVFfWrTnAoDJB,02-29-2024,Men,Baseball,-1.478,5822.6752,-1314.9963,2246.0,-0.9695,0.0,Baseball,1.0
xpMgpQPDDg4MsRjkErdZ,05-08-2024,Men,Baseball,-1.2792,5378.6259,-956.2218,1677.0,-0.7885,0.0,Baseball,1.0
ZRyQWS0n9weCwUuVjIGe,04-08-2024,Men,Baseball,-1.5031,5534.8145,-1290.1136,1936.0,-0.9296,0.0,Baseball,1.0
jbSRyQaqYZ0tmlSq6S0b,05-08-2024,Men,Baseball,-1.345,5320.8516,-1102.7836,1959.0,-0.8562,0.0,Baseball,1.0
wvrdUUffQdEc6LEV68un,02-06-2024,Men,Baseball,-1.6138,5921.7016,-1504.9788,2365.0,-1.0303,0.0,Baseball,1.0
p5IWkbhqd2D8006GWOxO,04-04-2024,Men,Baseball,-1.3094,5552.0031,-1036.3773,1842.0,-0.8514,0.0,Baseball,1.0
9njFc0XiBfdAf4XRgDrK,01-16-2024,Men,Baseball,-1.3651,5936.2282,-1184.1816,2102.0,-0.9026,0.0,Baseball,1.0
Qvcd2GtBhIhyibW7ovzg,02-08-2024,Men,Baseball,-1.4719,6052.6129,-1309.4381,2268.0,-0.9378,0.0,Baseball,1.0
